id,title,date,notes,physicalDescription,object_type,topic,hue,saturation,lightness,vibrant,muted,darkVibrant,darkMuted,lightVibrant,material_1_x,image,material,recordLink,record_urls,addl_urls
ld1-1643399134763-1643399189389-0,"Fire Helmet, ""Hancock""",1900s,"The traditional American Leather & Animal firefighter’s helmet with its distinctive long rear brim, frontpiece, and crest adornment was first developed around 1821-1836 in New York City. Henry T. Gratacap, a New York City luggage maker by trade, is often credited as the developer of this style of fire helmet. Gratacap created a specially treated Leather & Animal helmet with a segmented “comb” design that led to unparalleled durability and strength. The elongated rear brim (also known as a duckbill or beavertail) and frontpiece were 19th century innovations that remain the most identifiable feature of firefighter’s helmets. The body of the helmet was primarily designed to deflect falling debris, the rear brim prevented water from running down firefighters’ backs, and their sturdy crowns could aid, if necessary, in breaking windows.",Leather & Animal (overall material),Fire hats,Fire Helmets,33.6,49.02,50.0,#be8741,#8e7865,#624621,#634c3c,#e5cfb3,Leather,https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2008q05391,Leather & Animal,,,https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2008q05391.jpg
ld1-1643399134763-1643399189364-0,"Fire Helmet, ""Trenton Hose Co. 1 EW""",1840s,"The traditional American Leather & Animal firefighter’s helmet with its distinctive long rear brim, front shield, and crest adornment was first developed around 1821-1836 in New York City. Henry T. Gratacap, a New York City luggage maker by trade, is often credited as the developer of this style of fire helmet. Gratacap created a specially treated Leather & Animal helmet with a segmented “comb” design that led to unparalleled durability and strength. The elongated rear brim (also known as a duckbill or beavertail) and front shield were 19th century innovations that remain the most identifiable feature of firefighter’s helmets. The body of the helmet was primarily designed to deflect falling debris, the rear brim prevented water from running down firefighters’ backs, and their sturdy crowns could aid, if necessary, in breaking windows.",Leather & Animal (overall material),Fire hats,Fire Helmets,32.43,49.33,50.0,#be8440,#9a8052,#634421,#453e39,#ecdbc7,Leather,https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2008q05291,Leather & Animal,,,https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2008q05291.jpg
ld1-1643399134763-1643399189171-0,Good Will Fire Company Fire Hat,1860s,"Beginning in the late 18th century, some volunteer fire fighters began to wear hats painted with their company’s name to identify themselves at chaotic fire scenes. During the 19th century, these fire hats became more ornate, as portraits of historical figures, patriotic scenes, allegorical images, or company icons were painted alongside the company’s name, motto, or founding date. Made of pressed felt, these “stove-pipe” hats were primarily used in Philadelphia, but other nearby cities such as Baltimore and Washington adopted them as well. Fire hats were personal items with the owner’s initials often painted on the top of the hat. While these hats were worn at fires, they are more colloquially known as “parade hats.” Fire companies commonly marched in the many parades of the period and these ornate hats contributed to the visual culture of their day. These distinguishing features in a company’s regalia often proclaimed the members’ cultural and political identity as well as their position on contested topics such as work, religion and immigration.",painted (overall production method/technique),Fire hats,Art,31.2,49.02,50.0,#be8241,#886a46,#4c341a,#4f3c28,#ddbe9c,Painted Finishes,https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05088,Painted Finishes,,,https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05088.jpg
ld1-1726224333315-1726224336231-1,Six paneled straw hat with wide brim,1930s,"A wide brimmed hat made from six panels of thin, transparent straw material sewn together. The crown button at the top of the hat is also composed of straw. The interior of the hat is unlined and there is no label.",straw,Hats,Millinery,30.71,50.2,49.61,#be803f,#a48160,#5c2c0c,#463a2d,#deab65,Natural Fibers and Straw,https://ids.si.edu/ids/deliveryService?id=NMAAHC-2007_3_574_001,Natural Fibers and Straw,https://nmaahc.si.edu/object/nmaahc_2007.3.574,,https://ids.si.edu/ids/deliveryService?id=NMAAHC-2007_3_574_001.jpg
ld1-1643398738600-1643398743400-0,Wooden hat block from Mae's Millinery Shop,1940s,Carved wooden hat block with a flat base and an asymmetrical curved upper form. There is a large circular hole at the center of the underside of the base.,wood,hat blocks,Women,30.0,49.25,50.0,#be7f40,#77624b,#644322,#654b2d,#ddbc9c,Natural Fibers and Straw,https://ids.si.edu/ids/deliveryService?id=NMAAHC-41664F1102EB2_5001,Natural Fibers and Straw,https://nmaahc.si.edu/object/nmaahc_2010.6.31,,https://ids.si.edu/ids/deliveryService?id=NMAAHC-41664F1102EB2_5001.jpg
ld1-1643406825086-1643406865381-0,Hat,1950s,1 Dec 2014,,Hats,Anthropology,36.36,76.74,42.16,#be7d19,#937751,#6e0a0d,#59443a,#c58297,,https://ids.si.edu/ids/deliveryService/id/ark:/65665/m357c4c6766c194a6ab8da8e1316ab8cbb/640,Fabrics and Felts,http://n2t.net/ark:/65665/3deb9a540-2edd-4106-9c5a-28392790ede8,"['https://ids.si.edu/ids/deliveryService/id/ark:/65665/m306a72de2416248d09a5b16006c5443fa/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m357c4c6766c194a6ab8da8e1316ab8cbb/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m39fdfda08fd144555872532db62921ad5/640']","['https://ids.si.edu/ids/deliveryService/id/ark:/65665/m306a72de2416248d09a5b16006c5443fa/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m357c4c6766c194a6ab8da8e1316ab8cbb/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m39fdfda08fd144555872532db62921ad5/640']"
ld1-1643399134763-1643399189197-0,Neptune Hose Company Fire Hat,1860s,"Beginning in the late 18th century, some volunteer fire fighters began to wear hats painted with their company’s name to identify themselves at chaotic fire scenes. During the 19th century, these fire hats became more ornate, as portraits of historical figures, patriotic scenes, allegorical images, or company icons were painted alongside the company’s name, motto, or founding date. Made of pressed felt, these “stove-pipe” hats were primarily used in Philadelphia, but other nearby cities such as Baltimore and Washington adopted them as well. Fire hats were personal items with the owner’s initials often painted on the top of the hat. While these hats were worn at fires, they are more colloquially known as “parade hats.” Fire companies commonly marched in the many parades of the period and these ornate hats contributed to the visual culture of their day. These distinguishing features in a company’s regalia often proclaimed the members’ cultural and political identity as well as their position on contested topics such as work, religion and immigration.",painted (overall production method/technique),Fire hats,Art,25.95,49.33,50.0,#be7740,#887870,#382313,#674a35,#ddb89b,Painted Finishes,https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05143,Painted Finishes,,,https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05143.jpg
ld1-1726829471747-1726829474246-0,Tartan wool knit beret,1960s,"A beret-style knitted hat made from cream, green, dark blue, red, and yellow and black yarn. There are repair stiches made from light green thread on various spots throughout the hat. The interior of the hat is unlined. There is no label",wool,Hats,Millinery,3.33,49.61,49.8,#be4740,#ac8d77,#647c1c,#585935,#c2715f,Fabrics and Felts,https://ids.si.edu/ids/deliveryService?id=NMAAHC-2007_3_484_001,Fabrics and Felts,https://nmaahc.si.edu/object/nmaahc_2007.3.484,,https://ids.si.edu/ids/deliveryService?id=NMAAHC-2007_3_484_001.jpg
ld1-1643406825086-1643406884237-0,"Basketry Hat, Painted",1880s,"From card: ""Red and black design with sweat band of decorated cloth. On exhibit: Hall 11, May 1990."" Per Jay Stewart and Peter Macnair 7-20-2005 this is a spruce root hat, ""maker unknown. The weaver and the painter of this hat appear to be the originators of a tradition of making spruce root hats for sale that continued into the 20th century. This is one of the earliest spruce root hats that was made for sale.""",18 cm,Hats,Anthropology,38.57,45.9,52.16,#bd954d,#a38c54,#b08434,#272f3a,#719ce4,,https://ids.si.edu/ids/deliveryService/id/ark:/65665/m310ddb80134ad4d988763c3ba69b087fc/640,Natural Fibers and Straw,http://n2t.net/ark:/65665/39f467613-f045-4442-8fef-61dcf393e293,"['https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3f4e93cdbfc1b4e1bb0e076bf6069d79c/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3fc325eccd3c54822ac57f8ce5db54eb8/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m352f45826a3a04270ad6d6d8d790503a8/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3c197d16c1ddc4544967cc029e4f33ae6/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m310ddb80134ad4d988763c3ba69b087fc/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m373cb12446d5648e099e5423a918909a4/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3855d52f6d3fa4240b1143541c5ec0c46/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3aa411e6695534e4da4dc6331d32eb772/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3c06d6650f85d4d48a6cbd9f4af186f94/640']","['https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3f4e93cdbfc1b4e1bb0e076bf6069d79c/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3fc325eccd3c54822ac57f8ce5db54eb8/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m352f45826a3a04270ad6d6d8d790503a8/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3c197d16c1ddc4544967cc029e4f33ae6/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m310ddb80134ad4d988763c3ba69b087fc/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m373cb12446d5648e099e5423a918909a4/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3855d52f6d3fa4240b1143541c5ec0c46/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3aa411e6695534e4da4dc6331d32eb772/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3c06d6650f85d4d48a6cbd9f4af186f94/640']"
ld1-1643399134763-1643399189257-0,Hand-in-Hand Fire Hat,1860s,"Beginning in the late 18th century, some volunteer fire fighters began to wear hats painted with their company’s name to identify themselves at chaotic fire scenes. During the 19th century, these fire hats became more ornate, as portraits of historical figures, patriotic scenes, allegorical images, or company icons were painted alongside the company’s name, motto, or founding date. Made of pressed felt, these “stove-pipe” hats were primarily used in Philadelphia, but other nearby cities such as Baltimore and Washington adopted them as well. Fire hats were personal items with the owner’s initials often painted on the top of the hat. While these hats were worn at fires, they are more colloquially known as “parade hats.” Fire companies commonly marched in the many parades of the period and these ornate hats contributed to the visual culture of their day. These distinguishing features in a company’s regalia often proclaimed the members’ cultural and political identity as well as their position on contested topics such as work, religion and immigration.","fabric, pressed felt (overall material)",Fire hats,Art,39.15,47.2,50.98,#bd9447,#966f61,#74360c,#574740,#dbc69d,Fabrics and Felts,https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05263,Fabrics and Felts,,,https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05263.jpg
ld1-1643406825086-1643406874022-1,Ornaments For Hunting Hat,1880s,"FROM CARD: ""INVENTORIED 1975.""",,Hats,Anthropology,33.16,46.34,51.76,#bd8a4b,#aa8661,#593927,#6c543c,#e4cc9c,,https://ids.si.edu/ids/deliveryService/id/ark:/65665/m310cc135a10414723a4813b50d77eed72/640,Embellishments and Adhesives,http://n2t.net/ark:/65665/3b0bb8f7f-7a97-4caf-95a9-d32d72f47592,"['https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3f00d80da53414ad8875ab9fbe1d1499a/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m37f9c6879811546cd8c86489083778b8c/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m351245109755143ffb9cfb5c45b8ef4c9/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3744b06b33cb6471ca4021600b286b342/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3b9edbc095979476db37f188f4f82b134/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3dfeeff7307c547918f2b1e0efd1dc0d6/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m32d2641c6f58d45dfa0435155c1a66aa4/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m310cc135a10414723a4813b50d77eed72/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3408318f7aa3649e28fd262ed3e7f6964/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m315e2c07feb57405ab553f9f3074b3a3c/640']","['https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3f00d80da53414ad8875ab9fbe1d1499a/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m37f9c6879811546cd8c86489083778b8c/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m351245109755143ffb9cfb5c45b8ef4c9/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3744b06b33cb6471ca4021600b286b342/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3b9edbc095979476db37f188f4f82b134/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3dfeeff7307c547918f2b1e0efd1dc0d6/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m32d2641c6f58d45dfa0435155c1a66aa4/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m310cc135a10414723a4813b50d77eed72/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3408318f7aa3649e28fd262ed3e7f6964/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m315e2c07feb57405ab553f9f3074b3a3c/640']"
ld1-1643406825086-1643406864037-1,Hat,1970s,30 Jul 2020,,Hats,Anthropology,30.92,52.42,48.63,#bd7e3b,#a48c54,#62320f,#725634,#f1be75,,https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3f581a4f3bf5143bdbfd272913edb083e/640,Natural Fibers and Straw,http://n2t.net/ark:/65665/34a5f7577-778f-4c8b-9b52-936e7db14f70,"['https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3790149307ac34c3e94e80c66b84e599f/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3bd40b01c63804f79bb882a633263e364/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3f581a4f3bf5143bdbfd272913edb083e/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3a2863cd00edd4d5b912ff27d5bf7522f/640']","['https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3790149307ac34c3e94e80c66b84e599f/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3bd40b01c63804f79bb882a633263e364/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3f581a4f3bf5143bdbfd272913edb083e/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3a2863cd00edd4d5b912ff27d5bf7522f/640']"
ld1-1643406825086-1643406848133-0,Baby's Dress And Cap,1930s,PROVENIENCE NOTE: MUSA ISLE INDIAN VILLAGE WAS AN EXHIBITION VILLAGE ON THE MIAMI RIVER IN DADE COUNTY.,,Dress / Hat,Anthropology,15.94,51.2,49.02,#bd5f3d,#ba836c,#643220,#3c364c,#eeded2,,https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3e0d227aed2e6474a8b1a3701878134fb/640,Embellishments and Adhesives,http://n2t.net/ark:/65665/3618181b2-d4c4-4671-a4f8-d41be00017f2,"['https://ids.si.edu/ids/deliveryService/id/ark:/65665/m31a4c2c3259c948c4953f74365eabebd1/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3e77450ab6c9c4646b283c26bc7cc6f36/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3758bf744c030486ea8af393806e04791/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3e0d227aed2e6474a8b1a3701878134fb/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3c846b6717c0b479ead5a5c3d3938bea3/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3a6178967f1064ab8a758d9766df701f9/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m33bb70d3846374b60ac51bd8c8f490b1f/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m34243a5fb55504419b341d5dca0181485/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3c6efa2ad74b8432dbb6112de1a876ebc/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m342dbca043ff344cb9f82372a63409cd3/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m30238ee191e9546149e4282ccf76ccb92/640']","['https://ids.si.edu/ids/deliveryService/id/ark:/65665/m31a4c2c3259c948c4953f74365eabebd1/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3e77450ab6c9c4646b283c26bc7cc6f36/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3758bf744c030486ea8af393806e04791/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3e0d227aed2e6474a8b1a3701878134fb/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3c846b6717c0b479ead5a5c3d3938bea3/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3a6178967f1064ab8a758d9766df701f9/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m33bb70d3846374b60ac51bd8c8f490b1f/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m34243a5fb55504419b341d5dca0181485/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3c6efa2ad74b8432dbb6112de1a876ebc/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m342dbca043ff344cb9f82372a63409cd3/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m30238ee191e9546149e4282ccf76ccb92/640']"
ld1-1726224333315-1726224336216-0,Red had with double rolled brim,1960s,"A red wool felt hat with double rolled brim. The hat is made of blocked fur felt. The top of the crown is indented at the center, fitting close to the head. At the sides of the crown there is a band of gathering stitches that pulls the hat inwards at the center. These stitches do not continue to the back of the hat. The hat has a double rolled brim that is separated in the center by a machine stitch. The two parts of the brim cross over one another in the front. There is a rayon petersham sweatband machine stitched to the interior edge of the hat. A metal wire is hidden behind the sweatband. There is a stamped label at the inside of the hat at the top of the crown that reads [Neumann-Endler, INC. Fair Field Felts 100% WOOL]. A silk blend label is stitched to the center back of the hat that reads [LARGE].","wool felt, rayon petersham ribbon, and metal wire",Hats,Millinery,354.16,95.85,37.84,#bd0416,#994843,#96040e,#2f2c34,#fc7d89,Metals and Wire,https://ids.si.edu/ids/deliveryService?id=NMAAHC-2007_3_430_001,Metals and Wire,https://nmaahc.si.edu/object/nmaahc_2007.3.430,,https://ids.si.edu/ids/deliveryService?id=NMAAHC-2007_3_430_001.jpg
ld1-1643398738600-1643398747273-0,Green wrap hat made by Vanilla Beane,1960s,"A green velveteen hat with a layered design made by Vanilla Beane. The hat is circular with a rounded peak and constructed by layering a strip of fabric over itself in a wrapped design. The base of the fabric is a light green while the pile is a darker green, giving the hat a two-tone appearance. The interior is supported by a molded buckram form to which the exterior of the hat has been sewn.",velveteen on buckram,Hats,Black Enterprise,65.14,36.46,62.35,#bcc27c,#849c54,#565a2a,#3b542c,#d3d293,Fabrics and Felts,https://ids.si.edu/ids/deliveryService?id=NMAAHC-2013_141_1_001,Fabrics and Felts,https://nmaahc.si.edu/object/nmaahc_2013.141.1,,https://ids.si.edu/ids/deliveryService?id=NMAAHC-2013_141_1_001.jpg
ld1-1643406967081-1643406985602-0,Cap,2010s,"Cap. Seamed buckskin cap; is a light tan color. There is a chin strap attached to the bottom of the cap that is made of a single strip of skin. One side of the cap has a carved piece of abalone in the shape of a cross or an ""x"". The abalone is attached with a piece of thin skin wrapped in sinew. There is also a white, circular shell on top of the abalone. On the opposite of the cap, there is the same type of white shell in a rectangular shape attached to the cap with a thin piece of skin wrapped in sinew. At the end of this thread, the remains of a feather are present. The keratin center of the feather is all that remains. The painting on the cap, on the side with the abalone shell, depicts a human figure in a geometric/triangular design in brown and yellow. Underneath the figure, on the bottom of the cap, a repeating triangular design in yellow and brown is present. Above the figure on the top of the cap, a blue, flowing design is present, perhaps representing water (?). On the opposite side of the cap, with the rectangular white shell and feather, the same human figure is present, this time, painted in blue and brown. Underneath the figure is the same triangular design in brown and yellow, as well as a boat shaped figure in blue and brown. Above the figure is a zig zag design, starting from the top of the hat, coming down to the figure, possibly representing lightning (?). The top of the cap is painted with brown and yellow stripes.",24 cm,Hats,Anthropology,42.75,37.38,58.04,#bca56c,#a38c5e,#5b4c29,#564f46,#dad9b0,,https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3e5afb805fc4742318b31835e32f3d94a/640,Leather & Animal,http://n2t.net/ark:/65665/3af83823a-4dfd-40f1-856a-7af51909e7b4,"['https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3ba98c56f425243f99a79c2c32df711ff/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3e5afb805fc4742318b31835e32f3d94a/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3358af2a65f7c449a953d0dd70152ec44/640']","['https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3ba98c56f425243f99a79c2c32df711ff/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3e5afb805fc4742318b31835e32f3d94a/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3358af2a65f7c449a953d0dd70152ec44/640']"
ld1-1643406825086-1643406846584-0,Basketry Hat,1930s,30 Jul 2020,,Hats,Anthropology,42.44,37.96,57.65,#bca46a,#a2905a,#705f35,#57533b,#d5cfa1,,https://ids.si.edu/ids/deliveryService/id/ark:/65665/m394f9407e25334c7b938f0209cd683cad/640,Natural Fibers and Straw,http://n2t.net/ark:/65665/396b2f3bf-c45e-4b2f-bfb4-6f9d539c7201,"['https://ids.si.edu/ids/deliveryService/id/ark:/65665/m35e64a783278c4f9c94b3144eacbb62da/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m39b9ebeb1a54044f8856848b24f562d72/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m394f9407e25334c7b938f0209cd683cad/640']","['https://ids.si.edu/ids/deliveryService/id/ark:/65665/m35e64a783278c4f9c94b3144eacbb62da/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m39b9ebeb1a54044f8856848b24f562d72/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m394f9407e25334c7b938f0209cd683cad/640']"
ld1-1643407023501-1643407080376-1,Indian Hat And Cover,1870s,30 Jul 2020,,Hats,Anthropology,36.0,37.38,58.04,#bc9c6c,#a48458,#69492d,#506277,#8cbce4,,https://ids.si.edu/ids/deliveryService/id/ark:/65665/m330728f81446e46d9a0154ad64f064aaf/640,Embellishments and Adhesives,http://n2t.net/ark:/65665/3454a1a53-ccc0-4ac2-bcae-bceefd814d95,"['https://ids.si.edu/ids/deliveryService/id/ark:/65665/m31dcbc1fae5ac46be9570eadbb09ae73b/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3e995cd6ac10f41129666dea58e230624/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3d38877d4b3df424fa3db0eebfa11ad5c/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3456f1a993d944152ba2acb57ae1deb67/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3a4a2c1b2ba404c4bbdf9503af317b851/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m36feed52ee9ae41ac970a19cf183f2e4f/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m330728f81446e46d9a0154ad64f064aaf/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3a413ba0a7d854f7b939b0c81d0967287/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3c61eda61a757416ea7cce4cdd7a21906/640']","['https://ids.si.edu/ids/deliveryService/id/ark:/65665/m31dcbc1fae5ac46be9570eadbb09ae73b/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3e995cd6ac10f41129666dea58e230624/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3d38877d4b3df424fa3db0eebfa11ad5c/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3456f1a993d944152ba2acb57ae1deb67/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3a4a2c1b2ba404c4bbdf9503af317b851/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m36feed52ee9ae41ac970a19cf183f2e4f/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m330728f81446e46d9a0154ad64f064aaf/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3a413ba0a7d854f7b939b0c81d0967287/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3c61eda61a757416ea7cce4cdd7a21906/640']"
ld1-1643399134763-1643399189385-0,"Fire Helmet, ""Empire Hook & Ladder Co. No. 1""",1900s,"The traditional American Leather & Animal firefighter’s helmet with its distinctive long rear brim, frontpiece, and crest adornment was first developed around 1821-1836 in New York City. Henry T. Gratacap, a New York City luggage maker by trade, is often credited as the developer of this style of fire helmet. Gratacap created a specially treated Leather & Animal helmet with a segmented “comb” design that led to unparalleled durability and strength. The elongated rear brim (also known as a duckbill or beavertail) and frontpiece were 19th century innovations that remain the most identifiable feature of firefighter’s helmets. The body of the helmet was primarily designed to deflect falling debris, the rear brim prevented water from running down firefighters’ backs, and their sturdy crowns could aid, if necessary, in breaking windows.",Leather & Animal (overall material),Fire hats,Fire Helmets,41.18,43.22,53.73,#bc9c56,#a38652,#5e4c25,#483329,#d9c7a0,Leather,https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2008q05376,Leather & Animal,,,https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2008q05376.jpg
ld1-1643406825086-1643406850284-1,Beaded Hat-Band,1930s,16 Dec 2014,,Hatbands,Anthropology,33.75,37.38,58.04,#bc996c,#9e8b5e,#63362c,#475037,#d0ba97,,https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3210ab5a088a644f6bdf54a7a23f7f45f/640,Embellishments and Adhesives,http://n2t.net/ark:/65665/37ee10c3a-5be8-4b62-9a5a-fedd0c8e276d,"['https://ids.si.edu/ids/deliveryService/id/ark:/65665/m38439ba9748ec4018bb4e2f25ca706a04/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3210ab5a088a644f6bdf54a7a23f7f45f/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m314c7deaf4ce746079459ebf5f25ba2de/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3ee0b77ee5f144469aa3841c37118ef98/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m39c3a292a022b4d58b38494bd3b57fca9/640']","['https://ids.si.edu/ids/deliveryService/id/ark:/65665/m38439ba9748ec4018bb4e2f25ca706a04/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3210ab5a088a644f6bdf54a7a23f7f45f/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m314c7deaf4ce746079459ebf5f25ba2de/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3ee0b77ee5f144469aa3841c37118ef98/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m39c3a292a022b4d58b38494bd3b57fca9/640']"
